Index	Sentiment	Buy Price
ATVI	1.0083	48.42
HPE	1.0083	17.99
MO	1.0082	71.30
CERN	1.0082	58.61
BA	1.0081	175.62
XRAY	1.0081	61.80
DGX	1.008	97.25
CHTR	1.0079	330.00
ADM	1.0078	44.28
ROP	1.0078	205.01
SLG	1.0078	107.85
FE	1.0077	31.27
BWA	1.0075	38.01
UDR	1.0075	36.03
ESS	1.0075	233.57
ROST	1.0073	63.20
CME	1.0073	115.87
NFLX	1.0073	142.92
HSIC	1.0073	167.85
TRIP	1.0073	41.36
DRI	1.0072	81.97
CCL	1.0072	57.47
AMGN	1.0072	161.61
STZ	1.0072	168.95
ORLY	1.0072	251.99
CTSH	1.0071	58.35
XL	1.0071	40.01
EVHC	1.0071	60.07
WM	1.007	72.02
HAS	1.007	95.50
CTAS	1.0069	121.68
TDG	1.0068	233.76
AAPL	1.0066	141.05
GGP	1.0065	23.15
EXPE	1.0065	128.13
ADP	1.0065	101.26
CRM	1.0065	83.13
CAH	1.0064	81.43
SEE	1.0064	42.51
NWL	1.0064	46.02
HRL	1.0064	34.04
ECL	1.0063	124.47
IFF	1.0063	131.94
DVA	1.0063	67.78
LB	1.0063	47.46
AFL	1.0063	73.00
IBM	1.0063	169.53
PKI	1.0062	56.95
BXP	1.0062	135.52
BLL	1.0062	71.53
RSG	1.0062	62.19
CELG	1.0061	124.45
SPGI	1.0061	128.28
FISV	1.006	115.19
COH	1.006	39.73
MSFT	1.0059	64.95
JNPR	1.0059	27.56
FL	1.0059	72.09
MCHP	1.0058	72.24
VRTX	1.0058	113.80
EA	1.0058	89.02
A	1.0058	52.33
ALL	1.0058	80.58
FTV	1.0058	60.33
FBHS	1.0057	61.50
TRV	1.0056	120.53
LH	1.0056	142.10
VTR	1.0056	65.06
EQR	1.0056	63.24
WY	1.0055	34.43
DG	1.0055	68.74
CMCSA	1.0055	37.14
AMG	1.0054	161.28
ADBE	1.0053	129.05
HIG	1.0053	47.73
MCO	1.0052	112.43
ABBV	1.0052	64.13
MKC	1.0052	99.19
MMM	1.0052	188.65
CI	1.0052	150.41
CAG	1.0052	40.32
CA	1.0052	31.65
STX	1.0052	48.17
MDLZ	1.0051	44.04
GIS	1.0051	57.17
MA	1.0051	111.22
AET	1.005	128.63
IDXX	1.005	153.60
WU	1.005	19.35
CB	1.005	136.72
HCA	1.005	87.72
NLSN	1.0049	41.03
TSS	1.0049	52.12
BDX	1.0047	182.59
HUM	1.0047	211.80
HRB	1.0046	23.50
CMS	1.0046	45.21
UTX	1.0046	112.09
CTXS	1.0046	82.96
NAVI	1.0045	14.68
BBY	1.0045	48.27
SYY	1.0045	51.90
FB	1.0044	139.39
COO	1.0044	196.29
EFX	1.0044	134.86
YUM	1.0044	63.79
AVB	1.0043	186.48
LNT	1.0042	39.62
SJM	1.0042	127.38
TWX	1.0042	98.26
CLX	1.0042	133.86
SBUX	1.0042	57.51
AAL	1.0042	43.35
HSY	1.0041	108.20
LMT	1.0041	268.00
TGT	1.0041	53.39
VRSK	1.004	79.11
XRX	1.004	7.03
SYK	1.004	129.93
T	1.0039	40.28
NI	1.0039	23.78
BMY	1.0039	52.83
VFC	1.0039	54.80
EXR	1.0039	78.10
FIS	1.0038	80.16
CHD	1.0038	49.80
INTU	1.0038	117.89
BSX	1.0038	24.44
UNH	1.0038	164.96
TMO	1.0038	152.18
K	1.0038	71.95
OMC	1.0037	84.46
D	1.0037	77.53
EXC	1.0037	35.97
AGN	1.0037	237.83
PGR	1.0037	39.29
ESRX	1.0037	66.47
KLAC	1.0036	95.33
IRM	1.0036	35.29
WEC	1.0036	60.68
PYPL	1.0036	42.55
WLTW	1.0035	126.54
PLD	1.0035	54.57
GD	1.0035	186.73
PM	1.0034	113.06
VZ	1.0034	48.62
ORCL	1.0033	44.00
BCR	1.0033	248.81
AVY	1.0033	79.48
KORS	1.0032	37.56
PCG	1.0032	67.14
WMT	1.0032	73.15
AEE	1.0031	54.99
MRK	1.0031	62.61
SO	1.0031	49.42
CL	1.0031	73.66
CNP	1.003	27.94
EQIX	1.003	399.11
KSU	1.003	88.00
DHR	1.0028	85.78
MNK	1.0028	44.16
HOLX	1.0028	42.42
LLL	1.0028	166.29
MON	1.0028	115.77
WBA	1.0027	82.48
EIX	1.0027	80.31
AEP	1.0026	67.54
CVS	1.0026	77.96
MDT	1.0026	80.01
WFM	1.0026	33.96
LLY	1.0025	85.88
PFE	1.0025	33.88
MCD	1.0024	130.76
YHOO	1.0024	46.90
TROW	1.0024	70.26
PEP	1.0024	112.68
MJN	1.0023	88.67
AKAM	1.0023	58.80
HCN	1.0023	72.85
DTE	1.0023	103.51
FRT	1.0023	134.74
DLR	1.0023	109.61
HRS	1.0023	110.02
MHK	1.0023	229.75
KO	1.0022	42.79
CCI	1.0022	96.00
DPS	1.0022	97.21
KMB	1.0022	132.67
PG	1.0021	90.03
PHM	1.0021	23.71
TJX	1.002	76.81
SCG	1.002	65.80
HST	1.002	18.45
RAI	1.002	63.97
VRSN	1.002	87.68
GOOGL	1.002	840.18
TSN	1.0019	63.47
GPN	1.0019	77.54
HCP	1.0019	31.90
BAX	1.0019	53.25
PPL	1.0019	37.58
ALLE	1.0018	75.11
ISRG	1.0018	764.79
DUK	1.0018	82.59
KHC	1.0018	91.50
GOOG	1.0018	823.56
AWK	1.0018	78.57
EL	1.0017	84.94
ES	1.0016	59.62
V	1.0015	88.87
MAR	1.0015	91.55
XEL	1.0015	44.82
WAT	1.0014	155.69
AMT	1.0014	122.60
ZBH	1.0014	119.53
ZTS	1.0013	53.10
NOC	1.0013	240.20
XLNX	1.0013	55.68
PNW	1.0012	85.23
JNJ	1.0012	124.99
SRCL	1.0012	81.92
TDC	1.001	30.44
NKE	1.0008	55.34
RTN	1.0008	151.75
O	1.0007	61.45
MAC	1.0005	65.48
PSA	1.0004	225.97
ED	1.0004	78.53
DIS	1.0003	113.20
ILMN	1.0003	173.68
LVLT	1.0002	59.54
SE	1.0	40.68
SRE	0.9999	111.50
